,x,y,label
0,-4.764509546744515,-5.00597276390163,1
1,-4.4653333385877625,-6.823142521368191,0
2,-3.771681663159085,-5.343004210417273,1
3,-5.154050167416315,-5.6176326064539985,0
4,-2.737690345203001,-5.779047272277879,1
5,-5.61340054306922,-6.925679191900494,1
6,-4.234407015149107,-5.279300695543078,1
7,-3.941066195352973,-5.9535187752343735,0
8,-5.453854141740751,-4.100612994519712,1
9,-4.376965253156981,-5.659967151311281,0
10,-5.260426271641323,-5.793280922458545,0
11,-3.9888391033575425,-5.1161348942537135,1
12,-5.729606699953031,-6.80534917880145,1
13,-4.423594221347943,-6.15707597588242,0
14,-4.410495005988528,-4.95958946684874,1
15,-3.941062319681958,-7.134002656583904,0
16,-4.360194204708417,-3.013900300698112,0
17,-5.92123688546808,-6.006747060600454,0
18,-3.9155853178822637,-4.731468408290538,0
19,-4.671472447422746,-5.459951386176254,1
20,-4.272795441035079,-3.9626371221011705,0
21,-3.947441719428637,-5.390940158450881,1
22,-4.207773930045547,-4.9545717769635935,1
23,-4.6040213305251365,-6.134302362086678,0
24,-3.5006343906120954,-5.178796562280199,1
25,-4.312245672349877,-6.286217391927615,0
26,-6.202873093013603,-6.639930815758161,1
27,-5.221308717543714,-5.381540143752339,0
28,-5.135092454812175,-5.389739734042489,1
29,-4.450388611260599,-5.916462967911835,0
30,-5.254088571073662,-6.358775898129714,1
31,-5.764336172782277,-5.633945576196926,0
32,-3.8627189187796613,-3.6337574600004316,0
33,-3.5803410590397355,-5.6156597418940395,1
34,-3.198331687676643,-5.651982539533821,1
35,-3.6287014944854468,-3.6479319110713053,0
36,-5.122184847498469,-4.952922569453856,1
37,-2.4287152046974056,-3.523602942718921,0
38,-5.268263816847516,-5.989595407330189,1
39,-4.129632518272135,-4.321994400071654,0
40,-3.8166822719855014,-3.6866379418766515,0
41,-2.534933196145163,-6.020458689769016,1
42,-7.125295983796031,-5.41272278390231,0
43,-5.55018328750956,-5.579598578801639,0
44,-5.869749858909623,-4.207353775938749,1
45,-6.183796164812617,-4.587782332724381,0
46,-3.9840726538455336,-5.256676670661995,1
47,-5.280473372318005,-4.557573926508149,1
48,-4.996484837504566,-5.474635204171005,1
49,-3.8473916553526917,-6.089283428694985,0
50,-2.840932562566588,-4.584221784978226,0
51,-3.992443096040213,-5.157257735081732,0
52,-4.782697087684702,-5.345587366335131,1
53,-6.444491398317608,-5.5127829021185395,0
54,-5.765850555077883,-4.703132204793257,0
55,-4.347711900291223,-4.9468948547193206,1
56,-4.926729289979599,-6.597286700439687,1
57,-4.451595221002979,-4.83718790615728,1
58,-4.967428287008384,-6.635507787258615,1
59,-3.7768533421602757,-4.904923609248153,0
60,-5.183331639661034,-6.282329595621273,1
61,-4.756788746133445,-5.102046135427864,1
62,-5.246317909448027,-6.254813418387565,1
63,-4.666236007134565,-5.065463162014974,1
64,-4.214596968192322,-3.8530029203308,0
65,-5.171104632010171,-6.459220027343142,1
66,-4.976957196467332,-3.5354147239380262,0
67,-3.763507706288073,-6.899117698771693,0
68,-3.872563742757902,-5.105692186260751,1
69,-4.539235606650412,-2.883810835764294,0
70,-3.393740794134838,-4.711386149141654,0
71,-4.501415941644212,-6.06284532810028,0
72,-5.302193371559494,-4.918799250890472,1
73,-5.955378308440988,-4.539333391340182,0
74,-2.2397874514905123,-5.05188487037176,1
75,-5.500760121014697,-5.929439023499964,0
76,-5.023812301856832,-4.493179322484932,1
77,-5.511643070686127,-5.491993099951647,0
78,-3.4745602194796454,-5.8061993216130094,1
79,-4.18907200913673,-6.014189399930367,0
80,-2.7268011305555886,-5.720625311400448,1
81,-5.122255326397797,-5.012361584397671,1
82,-3.8997470158679093,-5.892144027698149,0
83,-4.806299750972678,-6.036078973397661,1
84,-3.979085753730681,-4.756866263406024,0
85,-4.345160923848898,-4.832751526578504,1
86,-4.940795971465651,-5.536893104200379,1
87,-5.1558312488603,-5.904386724175807,1
88,-4.803703135402036,-3.7094196651781077,0
89,-4.949554211712969,-4.712336159745794,1
90,-4.343382350376364,-3.8918838724511096,0
91,-4.705935024851061,-4.841761773362837,1
92,-4.7505069624327465,-4.854838201778131,1
93,-2.9319965453851067,-4.056149050969503,0
94,-4.404373541688164,-5.3070934847986155,1
95,-4.37035291939567,-5.9165071642535985,0
96,-5.420132660278918,-6.877946807094503,1
97,-4.469443346652683,-4.528865264334066,1
98,-4.922172773613888,-7.484048384463023,1
99,-6.921829141675277,-5.410765631423155,0
